1,Total value of all gold ever mined,6.75,trillion,12,USD,amount,https://en.wikipedia.org/wiki/Gold_reserve
2,Value of USA's gold reserves,321,billion,9,USD,amount,https://en.wikipedia.org/wiki/Gold_reserve
3,Value of Italy's gold reserves,96.6,billion,9,USD,amount,https://en.wikipedia.org/wiki/Gold_reserve
4,Wealth of the wealthiest person in the world,79.2,billion,9,USD,amount,Wikipedia
5,Value of Russia's gold reserves,54.9,billion,9,USD,amount,https://en.wikipedia.org/wiki/Gold_reserve
6,Cost of most expensive movie ever made,378.5,million,6,USD,amount,https://en.wikipedia.org/wiki/List_of_most_expensive_films
7,Largest Win on a Lottery Ticket,370.9,million,6,USD,amount,Wikipedia
8,Highest price for a painting sold at auction,300,million,6,USD,amount,https://en.wikipedia.org/wiki/List_of_most_expensive_paintings
9,Cost of making SPECTRE (James Bond Movie),245,million,6,USD,amount,https://en.wikipedia.org/wiki/List_of_most_expensive_films
10,Cost of making Star Wars: The Force Awakens,200,million,6,USD,amount,https://en.wikipedia.org/wiki/List_of_most_expensive_films
11,Highest price for a Rembrandt painting sold at auction,180,million,6,USD,amount,https://en.wikipedia.org/wiki/List_of_most_expensive_paintings
12,Highest price for a Picasso painting sold at auction,179.4,million,6,USD,amount,https://en.wikipedia.org/wiki/List_of_most_expensive_paintings
13,Highest price for a sculpture sold at auction,141.3,million,6,USD,amount,https://en.wikipedia.org/wiki/List_of_most_expensive_sculptures
14,"Sale price in 2015 of the 12.03 carat ""Blue Moon"" diamond",48.4,million,6,USD,amount,http://edition.cnn.com/2015/11/12/luxury/most-expensive-diamond/
15,Price at 2001 auction of Shakespeare's First Folio,6.1,million,6,USD,amount,https://en.wikipedia.org/wiki/List_of_most_expensive_books
