1,Solar Energy per minute received on Earth's surface,5.333,quintillion,18,J,energy,http://www.sandia.gov/~jytsao/Solar%20FAQs.pdf
2,Energy of the explosion of Krakatoa,837,quadrillion,15,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
3,Energy yield of the largest nuclear weapon ever tested,210,quadrillion,15,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
4,Energy capacity of a Tesla Powerwall 2 battery,38.6,million,6,J,energy,https://en.wikipedia.org/wiki/Tesla_Powerwall
5,Recommended daily food energy intake for a man,11,million,6,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
6,Recommended daily food energy intake for a woman,8.4,million,6,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
7,Energy released by metabolising a 280 kcal chocolate bar,1.2,million,6,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
8,Approximate kinetic energy of a car driving on a highway,1,million,6,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
9,Energy released by metabolising a pint of beer,764,thousand,3,J,energy,https://www.drinkaware.co.uk/alcohol-facts/alcoholic-drinks-units/lager/
10,Energy in boiling a kettle,672,thousand,3,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
11,Kinetic energy per gram of meteor hitting the Earth,500,thousand,3,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
12,Energy released by metabolising a 125 ml glass of wine,450,thousand,3,J,energy,http://www.kilojoules.co.za/kilojoules-in-alcohol/
13,Energy released by metabolising a 50g poached egg,308,thousand,3,J,energy,http://www.kilojoules.co.za
14,Energy released by metabolising a 25 ml shot of whisky,260,thousand,3,J,energy,http://www.kilojoules.co.za/kilojoules-in-alcohol/
15,Energy released by metabolising a shot of espresso coffee,92,thousand,3,J,energy,http://www.kilojoules.co.za
16,Energy released by burning 1g of petrol (gasoline),45,thousand,3,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
17,Energy released by metabolising 1g of fat,38,thousand,3,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
18,Energy released by metabolising 1g of carbohydrate,17,thousand,3,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
19,Energy released by metabolising 1g of protein,17,thousand,3,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
20,Energy in an AA alkaline battery,9,thousand,3,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
21,Energy released by exploding 1g of TNT,4.2,thousand,3,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
22,Energy in 1 food Calorie (kcal),4.2,thousand,3,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
23,Energy in an Olympic Hammer throw,3.4,thousand,3,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
24,Energy to vaporise 1g of water,2.3,thousand,3,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
25,Kinetic energy of M16 rifle bullet,1.8,thousand,3,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
26,Solar Energy per m^2 per second received at Earth's distance from Sun,1.4,thousand,3,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
27,Energy released in burning a match,1,thousand,3,J,energy,http://sci.chem.narkive.com/Z9x8XGRU/roughly-how-much-energy-is-contained-in-a-match
28,Energy to lift an 82 kg person 1m,780,unit,0,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
29,Energy in an Olympic Shotput throw,780,unit,0,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
30,Energy in an Olympic Javelin throw,360,unit,0,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
31,Energy to melt 1g of ice,330,unit,0,J,energy,https://en.wikipedia.org/wiki/Orders_of_magnitude_(energy)
