1,Width of the milky way,1,sextillion,21,m,extent,http://imagine.gsfc.nasa.gov/features/cosmic/milkyway_info.html
2,A parsec,31,quadrillion,15,m,extent,http://imagine.gsfc.nasa.gov/resources/dict_jp.html#parsec
3,A light year,9.46,quadrillion,15,m,extent,http://imagine.gsfc.nasa.gov/resources/dict_jp.html#light_year
4,Halley's comet's furthest distance from the sun (aphelion),5.25,trillion,12,m,extent,https://en.wikipedia.org/wiki/Halley%27s_Comet
5,Distance from the Sun to Neptune,4.498,trillion,12,m,extent,Thanks to Google
6,Length (circumference) of Earth's orbit around the Sun,940,billion,9,m,extent,https://en.wikipedia.org/wiki/Earth%27s_orbit
7,Distance from the Earth to the Sun,149.6,billion,9,m,extent,Thanks to Google
8,An AU (astronomical unit),149.6,billion,9,m,extent,https://en.wikipedia.org/wiki/Astronomical_unit
9,Distance from the Earth to the Moon,384.4,million,6,m,extent,Thanks to Google
10,Length of the equator,40.075,million,6,m,extent,Thanks to Google
11,Altitude of a geosynchronous orbit of a satellite around the Earth,35.786,million,6,m,extent,https://en.wikipedia.org/wiki/Geosynchronous_orbit
12,Range of an Airbus A380,15.2,million,6,m,extent,http://www.airbus.com/aircraftfamilies/passengeraircraft/a380family/specifications/
13,Length of the Trans-Siberian Highway from St Petersburg to Vladivostok,11,million,6,m,extent,http://www.roadtraffic-technology.com/features/feature-the-worlds-longest-highways/
14,Length of the 2016 Dakar Rally,9.237,million,6,m,extent,https://en.wikipedia.org/wiki/2016_Dakar_Rally
15,Length of the USA / Canada border,8.891,million,6,m,extent,Thanks to Google
16,Length of the Great Wall of China,8.852,million,6,m,extent,Thanks to Google
17,Length of North America (North to South),8.605,million,6,m,extent,http://www.worldatlas.com/webimage/countrys/nalandst.htm#page
18,Length of Africa (North to South),8,million,6,m,extent,https://en.wikipedia.org/wiki/Geography_of_Africa
19,Length of the Trans-Canada Highway from Victoria to St John's City,7.821,million,6,m,extent,http://www.roadtraffic-technology.com/features/feature-the-worlds-longest-highways/
20,Direct distance from Cape Town to Cairo,7.248,million,6,m,extent,https://www.freemaptools.com/how-far-is-it-between-cape-town_-south-africa-and-cairo_-egypt.htm
21,Length of South America (North to South),7.149,million,6,m,extent,http://www.worldatlas.com/webimage/countrys/salandst.htm
22,Length of the Nile River,6.853,million,6,m,extent,https://en.wikipedia.org/wiki/Nile
23,Mean Radius of the Earth,6.371,million,6,m,extent,https://en.wikipedia.org/wiki/Earth_radius
24,Length of the Yangtze River,6.3,million,6,m,extent,https://en.wikipedia.org/wiki/Yangtze
25,Distance from London to New York,5.576,million,6,m,extent,Thanks to Distance To From
26,Length of I-90 highway from Boston to Seattle,4.86,million,6,m,extent,http://www.roadtraffic-technology.com/features/feature-the-worlds-longest-highways/
27,Length of the Congo River,4.7,million,6,m,extent,Thanks to Google
28,Length of Chile - North-South,4.27,million,6,m,extent,https://en.wikipedia.org/wiki/Geography_of_Chile
29,Width of Australia,4,million,6,m,extent,http://www.ask.com/geography/many-miles-wide-australia-41036d80355d0566
30,Length of Route 66 from Chicago to Los Angeles,3.94,million,6,m,extent,http://www.route66guide.com
31,Length of the Mississippi River,3.73,million,6,m,extent,Thanks to Wikipedia
32,Length of the Danube River,2.86,million,6,m,extent,Thanks to Google
33,Length of the Zambezi River,2.574,million,6,m,extent,https://en.wikipedia.org/wiki/Zambezi
34,Length of the Beijing-Hangzhou Grand Canal,1.794,million,6,m,extent,https://en.wikipedia.org/wiki/Grand_Canal_(China)
35,Length of the Rhine River,1.233,million,6,m,extent,Thanks to Google
36,Length of mainland Italy,1.185,million,6,m,extent,http://science.blurtit.com/749871/what-is-the-length-and-width-of-italy
37,Direct distance from Land's End to John o' Groats,970,thousand,3,m,extent,https://en.wikipedia.org/wiki/Land%27s_End_to_John_o%27_Groats
38,Distance from London to Edinburgh,534.7,thousand,3,m,extent,Thanks to FreeMapTools
39,Length of the Thames River,386,thousand,3,m,extent,Thanks to Google
40,Length of the M25 Orbital motorway around London,188,thousand,3,m,extent,https://en.wikipedia.org/wiki/M25_motorway
41,Full length of Broadway,53,thousand,3,m,extent,https://en.wikipedia.org/wiki/Broadway_(Manhattan)
42,Length of a Marathon race,42.195,thousand,3,m,extent,Thanks to Google
43,Highest freefall parachute jump (2012),38.97,thousand,3,m,extent,http://www.guinnessworldrecords.com/news/60at60/2015/8/2012-highest-freefall-parachute-jump-392848
44,Length of the Peripherique around Paris,35.04,thousand,3,m,extent,https://en.wikipedia.org/wiki/Boulevard_P%C3%A9riph%C3%A9rique
45,Narrowest width of the English Channel,32.3,thousand,3,m,extent,https://en.wikipedia.org/wiki/English_Channel
46,Highest ascent by a propellor-driven aircraft (2001),29.524,thousand,3,m,extent,https://en.wikipedia.org/wiki/Flight_altitude_record
47,Length of Manhattan Island,21.6,thousand,3,m,extent,https://en.wikipedia.org/wiki/Manhattan
48,Depth of Marianas Trench,10.994,thousand,3,m,extent,http://geology.com/records/deepest-part-of-the-ocean.shtml
49,Length of the Rove Canal Tunnel in France,7.12,thousand,3,m,extent,https://en.wikipedia.org/wiki/Rove_Tunnel
50,Length of the Oxford-Cambridge boat race,6.8,thousand,3,m,extent,http://theboatraces.org/the-course
51,Highest ascent by a hot air balloon (2004),6.614,thousand,3,m,extent,https://en.wikipedia.org/wiki/Flight_altitude_record
52,Highest altitude reached by a single kite,4.8795,thousand,3,m,extent,http://www.guinnessworldrecords.com/world-records/highest-altitude-by-a-single-kite/
53,Length of Central Park (NYC),4,thousand,3,m,extent,http://www.ask.com/geography/big-central-park-new-york-city-3fd1d686bd03643
54,Depth of the Mponeng Gold Mine (South Africa),3.9,thousand,3,m,extent,http://www.mining-technology.com/features/feature-top-ten-deepest-mines-world-south-africa/
55,Length of the Champs Elysee,1.9,thousand,3,m,extent,https://www.google.co.uk/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=length%20of%20champs%20elysees
56,Length of Tiananmen square in Beijing,880,unit,0,m,extent,http://tiananmensquarebeijing.com
57,Length of the Lincoln Memorial Reflecting pool in Washington DC,618,unit,0,m,extent,https://en.wikipedia.org/wiki/Lincoln_Memorial_Reflecting_Pool
58,World record longest flight of an arrow from a bow (2010),484.29,unit,0,m,extent,http://news.bbc.co.uk/local/northampton/hi/people_and_places/history/newsid_8924000/8924976.stm
59,Longest golf drive,470.9,unit,0,m,extent,http://news.bbc.co.uk/1/hi/programmes/click_online/9269507.stm
60,Length of the Titanic,269,unit,0,m,extent,https://en.wikipedia.org/wiki/RMS_Titanic
61,Length of the longest ski jump ever (2015),251.5,unit,0,m,extent,https://en.wikipedia.org/wiki/List_of_the_longest_ski_jumps
62,Length of Tower Bridge over the Thames,244,unit,0,m,extent,https://en.wikipedia.org/wiki/Tower_Bridge
63,Length of the Pont Neuf bridge over the Seine,232,unit,0,m,extent,https://en.wikipedia.org/wiki/Pont_Neuf
64,Height of Sagrada Familia Basilica in Barcelona,170,unit,0,m,extent,https://en.wikipedia.org/wiki/Sagrada_Família
65,Height of Kingda Ka roller coaster,139,unit,0,m,extent,https://en.wikipedia.org/wiki/List_of_roller_coaster_rankings
66,Height of the Great Pyramid of Giza,139,unit,0,m,extent,https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza
67,Height of St Paul's Cathedral in London,111,unit,0,m,extent,https://en.wikipedia.org/wiki/St_Paul%27s_Cathedral
68,Length of a football pitch,105,unit,0,m,extent,Thanks to Wikipedia
69,World record javelin throw,104.8,unit,0,m,extent,https://en.wikipedia.org/wiki/Men%27s_javelin_throw_world_record_progression
70,Wingspan of an Airbus A380,79.75,unit,0,m,extent,http://www.airbus.com/aircraftfamilies/passengeraircraft/a380family/specifications/
71,Overall length of an Airbus A380,72.72,unit,0,m,extent,http://www.airbus.com/aircraftfamilies/passengeraircraft/a380family/specifications/
72,Height of Niagara Falls,57,unit,0,m,extent,http://www.niagaraparks.com/about-niagara-falls/geology-facts-figures.html
73,Typical flight of a flying fish,50,unit,0,m,extent,https://en.wikipedia.org/wiki/Flying_fish
74,Length of a blue whale,30,unit,0,m,extent,https://en.wikipedia.org/wiki/Blue_whale
75,Distance between bases of a baseball diamond,27.432,unit,0,m,extent,Thanks to Wikipedia
76,Length of a tennis court,23.77,unit,0,m,extent,http://www.tennisplanet.co.uk/other/information/dimensions-of-a-court/
77,Length of a cricket pitch,20.12,unit,0,m,extent,Thanks to Google
78,Length of a London Underground carriage,18,unit,0,m,extent,https://en.wikipedia.org/wiki/London_Underground_rolling_stock
79,Length of a basketball court,15,unit,0,m,extent,https://en.wikipedia.org/wiki/Basketball
80,Distance a kangaroo can jump,13.5,unit,0,m,extent,http://www.answers.com/Q/How_far_can_a_kangaroo_jump
81,Length of a London bus,11.23,unit,0,m,extent,Thanks to Google
82,World Long Jump Record (1991),8.95,unit,0,m,extent,https://en.wikipedia.org/wiki/Long_jump_world_record_progression
