1,Speed of light,1.08,billion,9,km/h,speed,https://en.wikipedia.org/wiki/Speed_of_light
2,Speed of Sun's motion through space,828,thousand,3,km/h,speed,http://starchild.gsfc.nasa.gov/docs/StarChild/questions/question18.html
3,Speed of a bolt of lightning,350,thousand,3,km/h,speed,http://www.bluebulbprojects.com/measureofthings/results.php?comp=speed&unit=kmh&amt=2400&sort=pr&p=5
4,Speed of Earth's rotation around the Sun,107,thousand,3,km/h,speed,http://www.space.com/33527-how-fast-is-earth-moving.html
5,Fastest speed attained by a manned rocket aircraft,7.27,thousand,3,km/h,speed,https://en.wikipedia.org/wiki/List_of_vehicle_speed_records
6,Fastest speed attained by a jet aircraft,3.53,thousand,3,km/h,speed,https://en.wikipedia.org/wiki/List_of_vehicle_speed_records
7,Speed of a bullet,3.3,thousand,3,km/h,speed,http://www.bluebulbprojects.com/measureofthings/results.php?comp=speed&unit=kmh&amt=2400&sort=pr&p=1
8,Speed of Concorde passenger SST,2.14,thousand,3,km/h,speed,https://en.wikipedia.org/wiki/Concorde
9,Speed of Earth's rotation around its own axis; at ground level at the equator,1.675,thousand,3,km/h,speed,http://www.space.com/33527-how-fast-is-earth-moving.html
10,Speed of sound,1.236,thousand,3,km/h,speed,https://en.wikipedia.org/wiki/Speed_of_sound
11,World Land Speed record,1.228,thousand,3,km/h,speed,https://en.wikipedia.org/wiki/List_of_vehicle_speed_records
12,Fastest speed attained by a manned rocket sled,1.017,thousand,3,km/h,speed,https://en.wikipedia.org/wiki/List_of_vehicle_speed_records
13,Speed of a commercial airliner,880,unit,0,km/h,speed,https://en.wikipedia.org/wiki/Cruise_(aeronautics)
14,Fastest speed attained by a propeller aircraft,870,unit,0,km/h,speed,https://en.wikipedia.org/wiki/List_of_vehicle_speed_records
15,World Land Speed record - wheel-driven,737.8,unit,0,km/h,speed,https://en.wikipedia.org/wiki/List_of_vehicle_speed_records
16,World Land Speed record for motorcycles,605.7,unit,0,km/h,speed,https://en.wikipedia.org/wiki/List_of_vehicle_speed_records
17,Fastest speed attained by a maglev train,603,unit,0,km/h,speed,https://en.wikipedia.org/wiki/List_of_vehicle_speed_records
18,Fastest speed attained by a wheeled train,574.8,unit,0,km/h,speed,https://en.wikipedia.org/wiki/List_of_vehicle_speed_records
19,Top speed of a France's Train de Grande Vitesse (TGV),570,unit,0,km/h,speed,https://en.wikipedia.org/wiki/TGV
20,Fastest speed attained by a helicopter,400.87,unit,0,km/h,speed,https://en.wikipedia.org/wiki/List_of_vehicle_speed_records
21,Top speed of a Peregrine falcon,389,unit,0,km/h,speed,https://en.wikipedia.org/wiki/Fastest_animals
22,Speed of China's Shijiazhuang?Wuhan high-speed train,350,unit,0,km/h,speed,https://en.wikipedia.org/wiki/Shijiazhuang%E2%80%93Wuhan_High-Speed_Railway
23,Speed of Japan's Shinkansen bullet train,320,unit,0,km/h,speed,https://en.wikipedia.org/wiki/Shinkansen
24,World Water Speed record,275.98,unit,0,km/h,speed,https://en.wikipedia.org/wiki/List_of_vehicle_speed_records
25,Fastest speed attained by a steam train,202.6,unit,0,km/h,speed,https://en.wikipedia.org/wiki/List_of_vehicle_speed_records
26,Terminal velocity for a skydiver with arms and legs outstretched,195,unit,0,km/h,speed,https://en.wikipedia.org/wiki/Free_fall
