1,all the water in the Earth's seas,1.4,quintillion,18,m^3,volume,Thanks to Wikipedia
2,all the water in the World Ocean,1.332,quintillion,18,m^3,volume,https://en.wikipedia.org/wiki/World_Ocean
3,water in Lake Baikal,23.6,trillion,12,m^3,volume,https://en.wikipedia.org/wiki/List_of_lakes_by_volume
4,water in the Great Lakes of North America,22.7,trillion,12,m^3,volume,https://en.wikipedia.org/wiki/Great_Lakes
5,water in Lake Tanganyika (Africa),18.9,trillion,12,m^3,volume,https://en.wikipedia.org/wiki/List_of_lakes_by_volume
6,water in Lake Superior,11.6,trillion,12,m^3,volume,https://en.wikipedia.org/wiki/List_of_lakes_by_volume
7,water in Lake Michigan-Huron,8.44,trillion,12,m^3,volume,https://en.wikipedia.org/wiki/List_of_lakes_by_volume
8,water in Lake Malawi,7.725,trillion,12,m^3,volume,https://en.wikipedia.org/wiki/List_of_lakes_by_volume
9,water in Lake Vostok (subglacial lake in Antarctica),6.2,trillion,12,m^3,volume,https://en.wikipedia.org/wiki/List_of_lakes_by_volume
10,water in Lake Victoria (Africa),2.75,trillion,12,m^3,volume,https://en.wikipedia.org/wiki/Lake_Victoria
11,water in Great Bear Lake (Canada),2.24,trillion,12,m^3,volume,https://en.wikipedia.org/wiki/List_of_lakes_by_volume
12,estimated remaining economically recoverable oil reserves,240,billion,9,m^3,volume,thanks to Google
13,water in the Kariba Dam (Africa),180.6,billion,9,m^3,volume,https://en.wikipedia.org/wiki/List_of_reservoirs_by_volume
14,water in the Aswan Dam (Egypt),169,billion,9,m^3,volume,https://en.wikipedia.org/wiki/List_of_largest_dams_in_the_world
15,water in the Bratsk Dam (Russia),169,billion,9,m^3,volume,https://en.wikipedia.org/wiki/List_of_reservoirs_by_volume
16,water in the Akosombo Dam (Ghana),150,billion,9,m^3,volume,https://en.wikipedia.org/wiki/List_of_reservoirs_by_volume
17,water in the Daniel-Johnson Dam (Canada),142,billion,9,m^3,volume,https://en.wikipedia.org/wiki/List_of_reservoirs_by_volume
18,water in the Guri Dam (Venezuela),135,billion,9,m^3,volume,https://en.wikipedia.org/wiki/List_of_largest_dams_in_the_world
19,water in Lake Geneva,89,billion,9,m^3,volume,https://en.wikipedia.org/wiki/Lake_Geneva
20,water in the Samara Dam (Russia),57.3,billion,9,m^3,volume,https://en.wikipedia.org/wiki/List_of_largest_dams_in_the_world
21,water in the Ataturk Dam (Turkey),48.7,billion,9,m^3,volume,https://en.wikipedia.org/wiki/List_of_largest_dams_in_the_world
22,water in the Three Gorges Dam (China),39.3,billion,9,m^3,volume,https://en.wikipedia.org/wiki/List_of_largest_dams_in_the_world
23,water in the Fort Peck Dam (USA),23,billion,9,m^3,volume,https://en.wikipedia.org/wiki/List_of_largest_dams_in_the_world
24,water in Lake Zurich,3.9,billion,9,m^3,volume,https://en.wikipedia.org/wiki/Lake_Zurich
25,water in Windermere (English Lake District),314.5,million,6,m^3,volume,https://en.wikipedia.org/wiki/List_of_lakes_in_the_Lake_District
26,water in the Hoover Dam,2.48,million,6,m^3,volume,https://en.wikipedia.org/wiki/Hoover_Dam
27,capacity of oil tanker ,300,thousand,3,m^3,volume,thanks to Google
28,water in an Olympic Swimming pool at minimum depth of 2m,2.5,thousand,3,m^3,volume,http://www.patagoniaalliance.org/wp-content/uploads/2014/08/How-much-water-does-an-Olympic-sized-swimming-pool-hold.pdf
29,capacity of petrol/gasoline road tanker,30,unit,0,m^3,volume,thanks to Google
30,standard oil barrel,0.159,unit,0,m^3,volume,thanks to Google
31,typical private car's fuel tank,0.06,unit,0,m^3,volume,thanks to Google
