1,ostrich,2.7,-0,0,meter,extent,www.onekind.org
2,African elephant,4.2,-0,0,meter,extent,www.onekind.org
3,giraffe,5.8,-0,0,meter,extent,www.onekind.org
4,`Burj Khalifa` scyscraper (Dubai),830,-0,0,meter,extent,Google
5,`Shard` skyscraper (London),310,-0,0,meter,extent,Wikipedia
6,London Eye Ferris Wheel,135,-0,0,meter,extent,Wikipedia
7,Empire State Building (NYC),381,-0,0,meter,extent,Google
8,Eiffel Tower,310,-0,0,meter,extent,Google
9,Angel Falls (Venuzeula),979,-0,0,meter,extent,Google
10,Mount Everest,8848,-0,0,meter,extent,Google
11,Cruising Altitude of Airbus commercial jet,13,thousand,3,meter,extent,Google
12,Orbit of International Space Station,400,thousand,3,meter,extent,Google
